Project/Group name,Provider,Established year,Years active,Last activity,# of contributors,Primary coding language,Language breakdown,Total LoC (est.),# of Repos,# of MRs/PRs,# of Merged,Avg LoC per MR,% Simple fixes,% Standard feature work,% Rich tasks,Other %,Automated %,# of Commits,CI/CD configured,CI systems,CI config files,CI jobs (approx),# of Pipelines/Runs,Pipeline success rate %,Avg pipeline duration (min),Unit test coverage %,Source files,Test files,Genuine test files,Suspicious test files,% Genuine tests,Test cases (approx),Assertions,AI/LLM detected,Primary LLM,LLM usage %,LLM usage basis,LLM breakdown,AI commits,Commits scanned (LLM),AI MRs/PRs,AI tool configs,License,License risk,Syntax valid % (py),Avg line length,Long lines %,Comment ratio %,Docstring % (py),Avg function length,Duplicate files %,Secrets found,PII emails,Eval contamination files,Quality score,Training suitability,Code availability
prakhau143,github,2023,3,2026-07-09,754,HTML,HTML 46%; Python 16%; JavaScript 14%; CSS 13%; Jupyter Notebook 4%,20419176,59,2,2,377.0,50.0,50.0,0.0,0.0,0.0,7920,Yes,GitHub Actions,10,13,152,72.4,0.6,,1045,18,14,4,77.8,87,179,Yes,GitHub Copilot,1.8,143/7920 commits,GitHub Copilot 51%; Claude (Claude Code) 47%; Cursor 1%; Generic AI 0%,143,7920,0,Claude (Claude Code); GitHub Copilot,GPL-3.0; MIT; NONE,no-license (all rights reserved),100.0,2934.6,1.0,8.0,30.4,265.0,0.0,3,46,0,84.8,C,Public (GitHub)
prakhau143/4_in_row,github,2025,1,2025-12-29,1,JavaScript,JavaScript 62%; Go 27%; CSS 10%; HTML 1%,599391,1,0,0,,,,,,,4,No,,0,,0,,,,16,0,0,0,,0,0,No,,0.0,0/4 commits,,0,4,,,NONE,no-license (all rights reserved),,23.6,0.4,1.5,,90.3,0.0,0,0,0,70.0,C,Public (GitHub)
prakhau143/ai_native,github,2026,0,2026-05-26,1,TypeScript,TypeScript 97%; CSS 3%; JavaScript 0%,294063,1,0,0,,,,,,,30,Yes,GitHub Actions,1,2,48,10.4,0.8,,42,2,1,1,50.0,8,19,Yes,Claude (Claude Code),50.0,15/30 commits,Claude (Claude Code) 100%,15,30,,Claude (Claude Code),NONE,no-license (all rights reserved),,35.8,4.3,2.8,,210.7,0.0,0,5,0,90.0,C,Public (GitHub)
prakhau143/Ai_news,github,2026,0,2026-06-24,1,HTML,HTML 53%; Python 35%; CSS 11%; Shell 1%,1082,1,0,0,,,,,,,3,No,,0,,0,,,,29,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),100.0,23.6,0.3,18.1,21.4,21.0,0.0,0,1,0,90.0,C,Public (GitHub)
prakhau143/aptitude-project,github,2025,1,2025-09-11,1,HTML,HTML 66%; Python 31%; JavaScript 3%; CSS 0%,124196,1,0,0,,,,,,,2,No,,0,,0,,,,62,3,0,3,0.0,3,0,No,,0.0,0/2 commits,,0,2,,,NONE,no-license (all rights reserved),100.0,28.1,0.9,13.4,25.0,36.5,0.0,2,2,0,75.0,C,Public (GitHub)
prakhau143/ashwam-be-ml-intern-Prakhar-Mittal,github,2025,1,2025-12-26,2,HTML,HTML 36%; Python 34%; JavaScript 24%; CSS 6%,2135,1,0,0,,,,,,,4,No,,0,,0,,,,19,1,1,0,100.0,15,47,No,,0.0,0/4 commits,,0,4,,,NONE,no-license (all rights reserved),100.0,30.4,0.5,11.1,70.6,45.1,0.0,0,0,0,100.0,C,Public (GitHub)
prakhau143/Avc-Cutz-barber-shop,github,2025,1,2025-05-19,1,HTML,HTML 100%,263,1,0,0,,,,,,,3,No,,0,,1,100.0,0.6,,0,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/backend-,github,2025,1,2026-06-29,1,Python,Python 55%; PLpgSQL 45%,936,1,0,0,,,,,,,14,No,,0,,0,,,,5,0,0,0,,0,0,No,,0.0,0/14 commits,,0,14,,,NONE,no-license (all rights reserved),100.0,34.9,0.0,12.7,60.0,55.6,0.0,0,5,0,90.0,C,Public (GitHub)
prakhau143/Backend-Developer,github,2025,1,2025-08-01,1,JavaScript,JavaScript 87%; Python 7%; CSS 4%; HTML 2%,43710,1,0,0,,,,,,,3,No,,0,,0,,,,91,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),,40.9,0.2,6.6,,2418.0,0.0,0,0,0,80.0,C,Public (GitHub)
prakhau143/backend-task,github,2025,1,2025-08-01,1,Python,Python 55%; PLpgSQL 45%,497,1,0,0,,,,,,,4,No,,0,,0,,,,5,0,0,0,,0,0,No,,0.0,0/4 commits,,0,4,,,NONE,no-license (all rights reserved),100.0,34.9,0.0,12.7,60.0,55.6,0.0,0,5,0,90.0,C,Public (GitHub)
prakhau143/bulk-email,github,2025,1,2025-08-25,1,HTML,HTML 74%; Python 14%; JavaScript 11%; CSS 1%; Batchfile 0%,120656,1,0,0,,,,,,,5,No,,0,,0,,,,29,0,0,0,,0,0,No,,0.0,0/5 commits,,0,5,,,NONE,no-license (all rights reserved),100.0,26.1,0.3,10.1,35.0,55.9,0.0,0,1,0,90.0,C,Public (GitHub)
prakhau143/coffee_shop,github,2025,1,2025-05-27,1,TypeScript,TypeScript 92%; CSS 4%; JavaScript 3%,1726,1,0,0,,,,,,,1,No,,0,,0,,,,13,0,0,0,,0,0,No,,0.0,0/1 commits,,0,1,,,NONE,no-license (all rights reserved),,32.6,2.2,1.9,,,0.0,0,1,0,80.0,C,Public (GitHub)
prakhau143/Corvo_coffee_house_website,github,2025,1,2025-05-28,1,CSS,CSS 48%; HTML 44%; JavaScript 8%,63370,1,0,0,,,,,,,3,No,,0,,0,,,,2,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),,28.0,0.0,6.9,,,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/developer-portfolios,github,2026,0,2026-06-08,459,Python,Python 100%,448482,1,0,0,,,,,,,6110,Yes,GitHub Actions,2,2,0,,,,7,6,6,0,100.0,26,69,Yes,GitHub Copilot,1.6,95/6110 commits,GitHub Copilot 78%; Claude (Claude Code) 20%; Cursor 2%,95,6110,,,NONE,no-license (all rights reserved),100.0,32.6,0.1,10.9,53.8,19.8,0.0,0,0,0,100.0,C,Public (GitHub)
prakhau143/EcomExpert-task,github,2025,1,2025-07-08,1,,,28233,1,0,0,,,,,,,1,No,,0,,0,,,,0,0,0,0,,0,0,No,,0.0,0/1 commits,,0,1,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/Ecommerce-website-main,github,2025,1,2025-12-17,2,HTML,HTML 46%; CSS 29%; JavaScript 25%,109421,1,0,0,,,,,,,27,No,,0,,0,,,,9,0,0,0,,0,0,No,,0.0,0/27 commits,,0,27,,,NONE,no-license (all rights reserved),,31.2,0.2,6.8,,16.9,0.0,0,1,0,90.0,C,Public (GitHub)
prakhau143/Ethnus_bs_js,github,2023,3,2023-11-10,1,HTML,HTML 97%; CSS 3%,13341,1,0,0,,,,,,,4,No,,0,,0,,,,0,0,0,0,,0,0,No,,0.0,0/4 commits,,0,4,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/food-yum-yum,github,2024,2,2025-04-23,1,JavaScript,JavaScript 100%,9391,1,0,0,,,,,,,3,No,,0,,0,,,,2,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,GPL-3.0,copyleft,,16.7,0.0,0.0,,,0.0,0,0,0,80.0,B,Public (GitHub)
prakhau143/Fuel_route_api,github,2026,0,2026-07-04,1,Python,Python 100%,27384,1,0,0,,,,,,,3,No,,0,,0,,,,17,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),100.0,19.8,0.0,4.4,41.2,27.8,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/gym.com-main,github,2025,1,2025-06-19,1,JavaScript,JavaScript 91%; CSS 8%; HTML 1%,495850,1,0,0,,,,,,,3,No,,0,,0,,,,89,1,1,0,100.0,1,1,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),,30.5,1.4,3.8,,846.3,0.0,0,6,0,90.0,C,Public (GitHub)
prakhau143/Html-CSS-Task,github,2023,3,2026-06-21,1,HTML,HTML 87%; CSS 13%,2106,1,0,0,,,,,,,46,No,,0,,41,100.0,0.8,,0,0,0,0,,0,0,No,,0.0,0/46 commits,,0,46,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/indoor-games,github,2025,1,2026-01-18,1,CSS,CSS 44%; HTML 40%; JavaScript 16%,49093,1,0,0,,,,,,,13,No,,0,,0,,,,1,0,0,0,,0,0,No,,0.0,0/13 commits,,0,13,,,NONE,no-license (all rights reserved),,29.7,0.0,10.2,,210.0,0.0,0,0,0,80.0,C,Public (GitHub)
prakhau143/InventoryFlow-Pro,github,2026,0,2026-06-02,1,JavaScript,JavaScript 64%; Python 27%; CSS 7%; HTML 1%; Dockerfile 0%,6290,1,0,0,,,,,,,17,Yes,GitHub Actions,1,3,16,75.0,1.3,,83,0,0,0,,0,0,Yes,Claude (Claude Code),82.4,14/17 commits,Claude (Claude Code) 100%,14,17,,,NONE,no-license (all rights reserved),100.0,32.0,2.0,1.3,16.2,29.3,0.0,0,2,0,80.0,C,Public (GitHub)
prakhau143/janus-birthday,github,2025,1,2025-09-25,1,HTML,HTML 100%,64833,1,0,0,,,,,,,3,No,,0,,0,,,,0,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/javascirpt-task,github,2023,3,2023-11-10,1,HTML,HTML 97%; CSS 3%,13341,1,0,0,,,,,,,4,No,,0,,0,,,,0,0,0,0,,0,0,No,,0.0,0/4 commits,,0,4,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/Javascript-Bootstrap-Task,github,2023,3,2025-06-22,1,HTML,HTML 95%; CSS 5%,16676,1,0,0,,,,,,,2,No,,0,,1,100.0,0.6,,0,0,0,0,,0,0,No,,0.0,0/2 commits,,0,2,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/LOgin-fun-button,github,2025,1,2025-05-09,1,HTML,HTML 100%,117,1,0,0,,,,,,,3,Yes,GitHub Actions,1,1,0,,,,0,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/Nails-Salon-master,github,2025,1,2025-05-29,0,CSS,CSS 52%; HTML 19%; JavaScript 16%; SCSS 13%,88649,1,0,0,,,,,,,1,No,,0,,0,,,,5,0,0,0,,0,0,No,,0.0,0/1 commits,,0,1,,,NONE,no-license (all rights reserved),,30.1,0.2,9.6,,203.6,0.0,0,0,0,80.0,C,Public (GitHub)
